market,state,biden_number,trump_number,other_number,biden_percent,trump_percent
Detroit,MI,1547302,1151193,40580,0.5648994642351889,0.4202853152980477
Detroit,Total,1547302,1151193,40580,0.5648994642351889,0.4202853152980477
Dothan,AL,27364,81275,1390,0.24869807050868406,0.738668896381863
Dothan,GA,2450,2710,28,0.47224363916730916,0.5223592906707787
Dothan,Total,29814,83985,1418,0.2587638976887091,0.7289288907018929
Duluth,MI,3570,4600,106,0.43136781053649104,0.55582406959884
Duluth,MN,97390,82774,4227,0.5281711146422547,0.4489047730095287
Duluth,WI,30197,27728,909,0.513257640140055,0.47129211000441923
Duluth,Total,131157,115102,5242,0.5214969324177637,0.4576602081105045
El Paso,NM,47957,32802,1882,0.5803051753972,0.3969216248593313
El Paso,TX,178935,85525,4298,0.6657848324514991,0.31822308545234
El Paso,Total,226892,118327,6180,0.6456819740522881,0.3367311802253279
Elmira,NY,36329,57017,2009,0.38098683865555033,0.5979445230978974
Elmira,PA,4955,15742,429,0.23454511029063713,0.7451481586670453
Elmira,Total,41284,72759,2438,0.3544269022415673,0.6246426455816828
Erie,PA,87276,109667,3322,0.4358025616058722,0.5476094175217836
Erie,Total,87276,109667,3322,0.4358025616058722,0.5476094175217836
Eugene,OR,203596,160341,12539,0.5407941010847969,0.4258996589424027
Eugene,Total,203596,160341,12539,0.5407941010847969,0.4258996589424027
Eureka,CA,49445,28231,3201,0.6113604609468699,0.349060919668138
Eureka,Total,49445,28231,3201,0.6113604609468699,0.349060919668138
Evansville,IL,4445,20037,384,0.1787581436499638,0.8057990830853374
Evansville,IN,68295,116620,3454,0.3625596568437482,0.6191039926951887
Evansville,KY,41679,94840,2280,0.3002831432503116,0.6832902254339008
Evansville,Total,114419,231497,6118,0.32502258304595577,0.6575984137895772
Fargo,MN,53564,88963,3043,0.36796043140757023,0.6111355361681665
Fargo,ND,71921,101533,6003,0.40077010091553966,0.5657789888385518
Fargo,Total,125485,190496,9046,0.38607561833324616,0.5860928476711166
Flint,MI,283582,327226,10500,0.4564274079844457,0.5266727613357626
Flint,Total,283582,327226,10500,0.4564274079844457,0.5266727613357626
Fresno,CA,354076,340840,15752,0.4982298344656014,0.47960510393038663
Fresno,Total,354076,340840,15752,0.4982298344656014,0.47960510393038663
Ft. Myers,FL,288162,455441,6833,0.38399277220176004,0.6069018543886487
Ft. Myers,Total,288162,455441,6833,0.38399277220176004,0.6069018543886487
Ft. Smith,AR,112692,198950,9521,0.35088724417196254,0.619467373265289
Ft. Smith,OK,6334,27326,531,0.18525342926501126,0.7992161679974262
Ft. Smith,Total,119026,226276,10052,0.3349505000647242,0.6367622145803903
Ft. Wayne,IN,107401,196515,6824,0.3456297869601596,0.6324097316084186
Ft. Wayne,OH,5280,18736,462,0.2157038973772367,0.7654220116022551
Ft. Wayne,Total,112681,215251,7286,0.33614245058439585,0.6421224397257904
Gainesville,FL,98974,82375,2758,0.5375895539007208,0.44743002710380375
Gainesville,Total,98974,82375,2758,0.5375895539007208,0.44743002710380375
Glendive,MT,1088,4361,120,0.19536721134853655,0.7830849344586102
Glendive,Total,1088,4361,120,0.19536721134853655,0.7830849344586102
Grand Junction,CO,39223,73664,2658,0.3394608161322428,0.6375351594616816
Grand Junction,Total,39223,73664,2658,0.3394608161322428,0.6375351594616816
Grand Rapids,MI,512717,593697,23518,0.45375916426829227,0.5254271938488334
Grand Rapids,Total,512717,593697,23518,0.45375916426829227,0.5254271938488334
Great Falls,MT,30665,51351,2135,0.36440446340506943,0.6102244774274815
Great Falls,Total,30665,51351,2135,0.36440446340506943,0.6102244774274815
Green Bay,MI,4316,8117,174,0.3423494883794717,0.6438486555088443
Green Bay,WI,260730,362976,11199,0.410659862499114,0.5717012781439743
Green Bay,Total,265046,371093,11373,0.4093298657013306,0.5731059810474555
Greensboro,NC,421857,520727,12917,0.44150346258141016,0.5449779749053114
Greensboro,VA,1954,7485,95,0.20495070274805957,0.7850849590937696
Greensboro,Total,423811,528212,13012,0.43916645510266467,0.5473500961105038
"Greenville, NC",NC,162556,219535,5694,0.41919104658509226,0.5661255592660882
"Greenville, NC",Total,162556,219535,5694,0.41919104658509226,0.5661255592660882
"Greenville, SC",GA,10015,34127,407,0.22480863767985815,0.766055354777885
"Greenville, SC",NC,194761,242400,6888,0.43860249657132433,0.5458857018031794
"Greenville, SC",SC,245507,457627,11437,0.34357257711270117,0.6404220154470305
"Greenville, SC",Total,450283,734154,18732,0.3742475080391865,0.6101836067917309
Greenwood,MS,45404,28392,853,0.6082331980334633,0.3803399911586223
Greenwood,Total,45404,28392,853,0.6082331980334633,0.3803399911586223
Harlingen,TX,204493,150247,3392,0.5709989612768477,0.4195296706242391
Harlingen,Total,204493,150247,3392,0.5709989612768477,0.4195296706242391
Harrisburg,PA,422603,636717,19328,0.39178953653091647,0.5902917355800965
Harrisburg,Total,422603,636717,19328,0.39178953653091647,0.5902917355800965
Harrisonburg,VA,46448,77856,2578,0.3660724137387494,0.613609495436705
Harrisonburg,WV,820,2782,57,0.2241049467067505,0.7603170265099755
Harrisonburg,Total,47268,80638,2635,0.36209313548999933,0.6177216353482814
Hartford,CT,783326,546272,21868,0.5796120657123449,0.4042069870792162
Hartford,Total,783326,546272,21868,0.5796120657123449,0.4042069870792162
Hattiesburg,MS,46142,88456,1922,0.33798710811602695,0.6479343685906827
Hattiesburg,Total,46142,88456,1922,0.33798710811602695,0.6479343685906827
Helena,MT,20578,24582,1210,0.44377830493853787,0.5301272374379987
Helena,Total,20578,24582,1210,0.44377830493853787,0.5301272374379987
Honolulu,HI,366130,196864,11475,0.6373363923901899,0.3426886394217965
Honolulu,Total,366130,196864,11475,0.6373363923901899,0.3426886394217965
Houston,TX,1368169,1414630,37283,0.48515220479404497,0.501627257647118
Houston,Total,1368169,1414630,37283,0.48515220479404497,0.501627257647118
Huntsville,AL,154039,328334,8832,0.31359412058102015,0.6684256064168728
Huntsville,TN,2919,12281,408,0.187019477191184,0.7868400820092261
Huntsville,Total,156958,340615,9240,0.3096960811976015,0.6720723422643066
Idaho Falls,ID,44863,122664,6390,0.25795638149232103,0.7053019543805379
Idaho Falls,WY,9848,4341,488,0.6709818082714452,0.2957688901001567
Idaho Falls,Total,54711,127005,6878,0.2900993668939627,0.6734307560155678
Indianapolis,IN,613112,764973,29441,0.43559550587342616,0.5434876513826388
Indianapolis,Total,613112,764973,29441,0.43559550587342616,0.5434876513826388
"Jackson, MS",MS,207142,203708,5635,0.49735764793449944,0.4891124530295209
"Jackson, MS",Total,207142,203708,5635,0.49735764793449944,0.4891124530295209
"Jackson, TN",TN,31999,74715,1618,0.2953790200494775,0.6896854115127571
"Jackson, TN",Total,31999,74715,1618,0.2953790200494775,0.6896854115127571
Jacksonville,FL,395978,548482,13820,0.41321743123095545,0.5723608966064199
Jacksonville,GA,30923,69079,1225,0.3054817390617128,0.6824167465201971
Jacksonville,Total,426901,617561,15045,0.4029241902129953,0.5828758092207036
Johnstown,PA,117245,262393,5585,0.30435617810982213,0.6811457259820934
Johnstown,Total,117245,262393,5585,0.30435617810982213,0.6811457259820934
Jonesboro,AR,19634,58176,2219,0.24533606567619237,0.7269364855239976
Jonesboro,Total,19634,58176,2219,0.24533606567619237,0.7269364855239976
Joplin,KS,16952,41138,1191,0.285960088392571,0.6939491574028778
Joplin,MO,23553,79636,1883,0.22416057560529923,0.7579183797776763
Joplin,OK,2686,8545,207,0.2348312642070292,0.7470711662878126
Joplin,Total,43191,129319,3281,0.24569517210778707,0.7356406186892389
Kansas City,KS,288692,246131,11853,0.5280861058469734,0.45023194725943705
Kansas City,MO,345653,376875,14548,0.46895164135041706,0.511310909594126
Kansas City,Total,634345,623006,26401,0.49413360212876006,0.48530089923910535
Knoxville,KY,4008,23171,274,0.14599497322696972,0.8440243324955379
Knoxville,TN,177074,424444,11086,0.28905132842749964,0.6928521524508492
Knoxville,Total,181082,447615,11360,0.2829154278447076,0.6993361528738846
La Crosse,MN,18186,19561,866,0.47098127573615106,0.5065910444668894
La Crosse,WI,125223,139256,5155,0.4644184338770333,0.5164630573295652
La Crosse,Total,143409,158817,6021,0.4652405376208041,0.5152264255613194
"Lafayette, IN",IN,36026,37588,1948,0.47677403986130595,0.4974458060930097
"Lafayette, IN",Total,36026,37588,1948,0.47677403986130595,0.4974458060930097
"Lafayette, LA",LA,94341,202146,4941,0.3129802141805008,0.6706278116167045
"Lafayette, LA",Total,94341,202146,4941,0.3129802141805008,0.6706278116167045
Lake Charles,LA,30956,79886,2027,0.27426485571769044,0.7077762716069071
Lake Charles,Total,30956,79886,2027,0.27426485571769044,0.7077762716069071
Lansing,MI,185357,168944,6863,0.5132211405344941,0.4677764118239913
Lansing,Total,185357,168944,6863,0.5132211405344941,0.4677764118239913
Laredo,TX,43646,27931,694,0.6039213515794717,0.3864759031976865
Laredo,Total,43646,27931,694,0.6039213515794717,0.3864759031976865
Las Vegas,NV,529470,450525,20339,0.529293216065834,0.45037457489198607
Las Vegas,Total,529470,450525,20339,0.529293216065834,0.45037457489198607
Lexington,KY,217264,391108,11264,0.3506316611688152,0.6311899244072326
Lexington,Total,217264,391108,11264,0.3506316611688152,0.6311899244072326
Lima,OH,21995,70326,1547,0.23431840456811692,0.7492010056675331
Lima,Total,21995,70326,1547,0.23431840456811692,0.7492010056675331
Lincoln,KS,760,3945,81,0.15879648976180527,0.8242791475135813
Lincoln,NE,129202,224012,9635,0.3560764946299976,0.617369759872564
Lincoln,Total,129962,227957,9716,0.3535082350701103,0.620063378078801
Little Rock,AR,230264,370596,16691,0.3728663705507723,0.6001059021845969
Little Rock,Total,230264,370596,16691,0.3728663705507723,0.6001059021845969
Los Angeles,CA,5083115,2804256,169702,0.6308885373137366,0.34804897510547567
Los Angeles,NV,74,400,13,0.15195071868583163,0.8213552361396304
Los Angeles,Total,5083189,2804656,169715,0.6308595902481644,0.3480775817989565
Louisville,IN,66567,131701,3907,0.32925435884753307,0.6514207988129096
Louisville,KY,313108,350468,12623,0.4630412053256512,0.5182912130896378
Louisville,Total,379675,482169,16530,0.4322475392031185,0.5489335977613181
Lubbock,TX,49636,120292,2488,0.2878851150705271,0.6976846696362287
Lubbock,Total,49636,120292,2488,0.2878851150705271,0.6976846696362287
Macon,GA,137585,165393,3124,0.44947435822046244,0.5403198933688771
Macon,Total,137585,165393,3124,0.44947435822046244,0.5403198933688771
Madison,WI,386601,204732,10176,0.6427185628145214,0.34036398457878436
Madison,Total,386601,204732,10176,0.6427185628145214,0.34036398457878436
Mankato,MN,28375,36866,1655,0.42416586940923223,0.5510942358287491
Mankato,Total,28375,36866,1655,0.42416586940923223,0.5510942358287491
Marquette,MI,50241,65540,2141,0.42605281457234445,0.5557911161615305
Marquette,WI,781,2133,26,0.26564625850340134,0.7255102040816327
Marquette,Total,51022,67673,2167,0.42215088282504015,0.559919577700187
Medford,CA,9593,13290,589,0.40869972733469667,0.5662065439672802
Medford,OR,95167,132882,6771,0.40527638190954773,0.5658887658632143
Medford,Total,104760,146172,7360,0.40558747464110384,0.5659176435971691
Memphis,AR,24918,32438,2014,0.4197069226882264,0.54637022065016
Memphis,MS,75126,111513,2921,0.396317788562988,0.5882728423718084
Memphis,MO,1560,4120,55,0.27201394943330426,0.7183958151700087
Memphis,TN,277837,205886,7559,0.565534662373138,0.4190790625343489
